rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
2007,9210387,K02416.01,5.90608902,3.73E-05,-3.73E-05,131.56096,4.87E-03,-4.87E-03,0.025,0.442,-0.025,2.409,0.17,-0.17,1.77,5.50E-01,-1.90E-01,1012,,,247.83,233.88,-75.1,5966,186,-207,4.493,0.04,-0.216,0.961,0.299,-0.1,288.20764,45.683479,15.466
2008,11852982,K00247.01,13.81504449,2.52E-05,-2.52E-05,181.12621,1.45E-03,-1.45E-03,0.868,0.015,-0.639,2.3244,0.0921,-0.0921,1.91,1.30E-01,-1.90E-01,391,,,5.52,1.28,-1.42,3732,75,-83,4.736,0.052,-0.024,0.509,0.034,-0.05,284.9986,50.14679,14.216
2009,8559152,K02488.01,12.4128518,9.94E-05,-9.94E-05,140.35679,7.02E-03,-7.02E-03,0.711,0.251,-0.505,4.298,0.174,-0.174,1.5,2.40E-01,-2.70E-01,933,,,179.24,81.22,-67.14,5945,118,-118,4.196,0.168,-0.112,1.346,0.214,-0.238,291.4743,44.68351,13.539
2010,2718778,K02489.01,3.92453009,1.67E-05,-1.67E-05,132.40179,3.98E-03,-3.98E-03,0.112,0.334,-0.112,3.691,0.107,-0.107,1.82,4.50E-01,-1.60E-01,1074,,,314.25,237.87,-87.57,5776,181,-201,4.554,0.042,-0.168,0.849,0.209,-0.075,292.6904,37.93457,15.708
2011,3122913,K02490.01,11.60653061,6.08E-05,-6.08E-05,134.41637,3.87E-03,-3.87E-03,0.024,0.436,-0.024,2.194,0.119,-0.119,1.88,7.00E-02,-1.10E-01,584,,,27.47,4.07,-4.81,4703,74,-84,4.582,0.049,-0.017,0.701,0.027,-0.041,292.90161,38.297081,15.701
2012,9229657,K02491.01,2.66831274,1.03E-05,-1.03E-05,131.68823,2.87E-03,-2.87E-03,0.333,0.122,-0.333,2.4141,0.0924,-0.0924,1.48,3.70E-01,-1.30E-01,1252,,,581.38,440.61,-156.5,5806,157,-192,4.528,0.042,-0.168,0.899,0.231,-0.077,296.07568,45.62706,15.553
2013,5175024,K02563.01,23.4772553,2.53E-04,-2.53E-04,145.3641,1.00E-02,-1.00E-02,0.013,0.445,-0.013,6.735,0.31,-0.31,1.34,4.20E-01,-1.80E-01,738,,,70.05,62.76,-24.08,6384,151,-207,4.361,0.087,-0.203,1.121,0.352,-0.151,288.09564,40.365971,13.973
2014,9026749,K02564.01,66.5576728,8.99E-04,-8.99E-04,181.3241,1.06E-02,-1.06E-02,0.254,0.196,-0.253,10.532,0.271,-0.271,4.96,9.10E-01,-1.69E+00,757,,,77.68,38.53,-45.54,5734,95,-69,3.591,0.292,-0.097,3.405,0.625,-1.161,293.57394,45.384541,14.074
2015,12216278,K02565.01,2.01948607,1.64E-05,-1.64E-05,132.9238,7.30E-03,-7.30E-03,0.977,0.425,-0.01,5.248,0.297,-0.297,2.15,6.40E-01,-2.60E-01,1430,,,988.37,897.23,-323.75,5884,184,-205,4.481,0.065,-0.195,0.944,0.282,-0.113,295.5582,50.828388,15.415
2016,9159242,K02566.01,3.04468229,4.33E-05,-4.33E-05,132.464,1.36E-02,-1.36E-02,0.623,0.335,-0.407,5.951,0.3,-0.3,0.86,3.00E-01,-1.70E-01,1244,,,566.03,569.04,-245.26,5575,150,-167,4.363,0.198,-0.264,0.98,0.336,-0.196,293.67426,45.517239,14.028
2017,12061096,K02642.01,15.05028313,7.57E-05,-7.57E-05,141.53522,4.62E-03,-4.62E-03,0.3125,0.1983,-0.3023,1.848,0.131,-0.131,2.46,1.11E+00,-2.00E-01,735,,,69.16,92.7,-18.57,5887,160,-205,4.49,0.037,-0.312,0.989,0.445,-0.081,291.13638,50.575939,15.612
2018,5794240,K00254.01,2.455240626,1.11E-07,-1.11E-07,170.821762,3.56E-05,-3.56E-05,0.144,0.152,-0.084,1.72722,0.00373,-0.00373,10.6,4.30E-01,-7.10E-01,730,,,67.3,11.58,-13.73,3793,76,-84,4.697,0.032,-0.02,0.568,0.023,-0.038,292.87289,41.06427,15.979
2019,6933567,K02643.01,9.08233411,4.32E-05,-4.32E-05,139.65489,4.46E-03,-4.46E-03,0.262,0.192,-0.262,2.008,0.114,-0.114,1.35,2.40E-01,-1.30E-01,734,,,68.75,40.39,-18.3,5354,175,-159,4.587,0.032,-0.12,0.788,0.143,-0.071,286.60416,42.440319,15.4
2020,9993529,K02644.01,0.790539912,1.23E-06,-1.23E-06,131.87702,1.32E-03,-1.32E-03,0.008,0.442,-0.008,1.0567,0.0519,-0.0519,1.24,7.00E-02,-1.20E-01,1502,,,1200.65,288.54,-332.39,4791,129,-143,4.541,0.07,-0.03,0.767,0.043,-0.074,282.40594,46.90448,14.864
2021,6044553,K02646.01,0.532086296,6.78E-07,-6.78E-07,131.9134,1.15E-03,-1.15E-03,1.199,0.102,-0.136,4.023,0.115,-0.115,16.99,2.48E+00,-1.25E+00,1790,,,2417.28,1156.3,-555.26,5271,158,-142,4.636,0.03,-0.09,0.698,0.102,-0.051,292.48703,41.311119,15.397
2022,9654468,K02417.01,47.7052566,4.70E-04,-4.70E-04,146.3164,1.00E-02,-1.00E-02,0.918,0.025,-0.627,5.959,0.251,-0.251,2.89,1.20E-01,-1.40E-01,347,,,3.42,0.58,-0.57,4551,90,-90,4.609,0.036,-0.018,0.672,0.027,-0.033,294.00543,46.310692,16.22
2023,4349452,K00244.02,6.238535444,2.33E-06,-2.33E-06,171.706325,2.95E-04,-2.95E-04,0.008,0.266,-0.008,3.5255,0.0105,-0.0105,2.53,1.40E-01,-1.20E-01,1185,,,465.61,82.26,-62.53,6267,81,-75,4.28,0.033,-0.03,1.258,0.072,-0.059,286.6384,39.487881,10.734
2024,10027247,K02418.01,86.829519,1.29E-03,-1.29E-03,189.26162,9.69E-03,-9.69E-03,0.953,0.018,-0.669,7.464,0.371,-0.371,1.68,1.20E-01,-2.10E-01,196,,,0.35,0.08,-0.11,3576,71,-85,4.791,0.055,-0.035,0.463,0.034,-0.058,297.48669,46.996712,15.474
2025,6343170,K02419.01,9.95667035,5.85E-05,-5.85E-05,136.5827,6.30E-03,-6.30E-03,0.949,0.011,-0.691,3.534,0.11,-0.11,3.41,1.12E+00,-4.80E-01,946,,,189.48,186.55,-67.05,6165,184,-202,4.365,0.105,-0.21,1.115,0.366,-0.157,283.2645,41.711449,15.309
2026,7107802,K02420.01,10.41728722,6.70E-05,-6.70E-05,137.45784,4.85E-03,-4.85E-03,0.12,0.32,-0.12,4.125,0.153,-0.153,1.64,2.40E-01,-2.60E-01,870,,,135.34,52.68,-44.87,5557,83,-75,4.288,0.162,-0.108,1.151,0.166,-0.184,288.58835,42.605659,14.746
2027,10028535,K02493.01,0.663085361,9.11E-07,-9.11E-07,131.97961,1.11E-03,-1.11E-03,0.841,0.05,-0.579,1.1522,0.0383,-0.0383,1.6,2.40E-01,-1.20E-01,1681,,,1894.94,982.81,-447.99,5172,170,-154,4.6,0.026,-0.097,0.767,0.119,-0.055,297.84149,46.967682,15.304
2028,7047207,K02494.01,19.1187425,1.72E-04,-1.72E-04,138.42824,7.33E-03,-7.33E-03,0.74,0.212,-0.532,6.805,0.217,-0.217,2.33,3.70E-01,-4.50E-01,823,,,108.48,45.32,-41.75,5862,79,-79,4.148,0.176,-0.095,1.463,0.233,-0.284,295.59125,42.555241,14.838
2029,5212220,K02495.01,1.08749101,1.73E-06,-1.73E-06,131.77034,1.37E-03,-1.37E-03,0.979,0.067,-0.727,1.6192,0.0909,-0.0909,4.91,9.10E-01,-1.97E+00,3081,,,21388.7,13064.35,-14644.54,5988,208,-187,3.594,0.36,-0.12,3.204,0.594,-1.287,297.85938,40.326939,13.214
2030,9964748,K02496.01,1.183818383,4.98E-06,-4.98E-06,131.88403,3.24E-03,-3.24E-03,0.17,0.288,-0.17,1.393,0.118,-0.118,0.91,3.10E-01,-1.00E-01,1775,,,2337.65,2297.68,-734.59,6014,168,-210,4.459,0.054,-0.216,0.992,0.33,-0.11,297.04852,46.867981,14.675
2031,9757613,K00250.03,3.543919702,4.49E-06,-4.49E-06,136.26075,1.07E-03,-1.07E-03,0.022,0.267,-0.022,1.8717,0.0285,-0.0285,1.21,6.00E-02,-1.00E-01,652,,,42.68,8.79,-9.36,3879,77,-85,4.708,0.045,-0.021,0.537,0.03,-0.041,284.94098,46.56654,15.473
2032,8247770,K02569.01,8.28157072,7.34E-05,-7.34E-05,136.25775,6.47E-03,-6.47E-03,0.042,0.407,-0.042,3.1,0.216,-0.216,1.37,2.10E-01,-2.10E-01,956,,,197.82,79.31,-63.19,5640,76,-76,4.288,0.143,-0.104,1.175,0.179,-0.179,296.603,44.14082,14.273
2033,6867588,K02571.01,0.82628442,1.44E-06,-1.44E-06,132.26993,1.48E-03,-1.48E-03,0.28,0.186,-0.28,0.9603,0.0532,-0.0532,0.96,7.00E-02,-5.00E-02,1629,,,1654.69,370.53,-248.94,5218,73,-83,4.548,0.025,-0.07,0.829,0.063,-0.04,293.13705,42.350479,14.434
2034,7501646,K02572.01,6.37705295,3.21E-05,-3.21E-05,136.91384,4.53E-03,-4.53E-03,0.234,0.243,-0.234,1.949,0.147,-0.147,2.15,5.20E-01,-2.10E-01,935,,,180.66,130.54,-52.88,5672,160,-200,4.503,0.044,-0.176,0.965,0.233,-0.093,281.59235,43.177879,15.522
2035,11962284,K02647.01,8.83929462,4.93E-05,-4.93E-05,135.54125,4.71E-03,-4.71E-03,0.924,0.018,-0.709,1.719,0.117,-0.117,1.94,3.50E-01,-2.10E-01,778,,,86.5,49.08,-25.22,5330,159,-159,4.491,0.074,-0.126,0.87,0.157,-0.092,290.98923,50.30806,15.102
2036,2573056,K02648.01,0.631795416,1.29E-06,-1.29E-06,132.53963,1.70E-03,-1.70E-03,0.433,0.026,-0.433,1.0703,0.071,-0.071,1.88,3.40E-01,-3.30E-01,2797,,,14547.08,6526.44,-5211.13,6414,70,-83,4.173,0.143,-0.117,1.519,0.27,-0.27,290.84714,37.864052,14.676
2037,6842682,K02649.01,7.56126152,4.26E-05,-4.26E-05,135.6368,4.92E-03,-4.92E-03,0.253,0.193,-0.253,2.851,0.159,-0.159,1.2,3.40E-01,-1.10E-01,891,,,149.17,118.39,-40.15,5853,146,-175,4.529,0.048,-0.192,0.895,0.246,-0.082,284.28714,42.35561,14.64
2038,8890150,K02650.01,34.9897847,3.80E-04,-3.80E-04,144.20912,9.70E-03,-9.70E-03,0.034,0.422,-0.034,4.208,0.235,-0.235,1.14,7.00E-02,-1.00E-01,292,,,1.71,0.35,-0.42,3765,75,-83,4.725,0.049,-0.021,0.521,0.029,-0.047,293.51108,45.136589,15.987
2039,8890150,K02650.02,7.05429483,4.13E-05,-4.13E-05,136.18961,5.19E-03,-5.19E-03,0.48,0.048,-0.417,1.716,0.171,-0.171,1,6.00E-02,-9.00E-02,497,,,14.46,2.98,-3.51,3765,75,-83,4.725,0.049,-0.021,0.521,0.029,-0.047,293.51108,45.136589,15.987
2040,8838950,K02421.01,2.27050106,1.16E-05,-1.16E-05,133.54216,4.16E-03,-4.16E-03,0.473,0.465,-0.262,1.903,0.111,-0.111,0.55,3.00E-02,-3.00E-02,903,,,157.05,38.78,-36.72,4671,139,-153,4.721,0.048,-0.028,0.528,0.028,-0.034,298.41931,45.071442,14.363
2041,11360805,K02422.01,26.7838935,1.58E-04,-1.58E-04,140.75396,5.22E-03,-5.22E-03,0.036,0.442,-0.036,4.584,0.16,-0.16,1.59,1.20E-01,-8.00E-02,523,,,17.69,4.04,-2.71,5242,84,-73,4.512,0.05,-0.061,0.856,0.063,-0.046,296.55005,49.102322,14.803
2042,9845898,K02423.01,45.126216,5.00E-04,-5.00E-04,165.42066,9.07E-03,-9.07E-03,0.49,0.017,-0.456,6.656,0.266,-0.266,2.32,7.60E-01,-2.50E-01,604,,,31.54,30.18,-9.87,6499,174,-232,4.378,0.067,-0.202,1.169,0.382,-0.127,297.37509,46.662209,14.689
2043,12453581,K02424.01,11.94019101,7.10E-05,-7.10E-05,136.55603,4.83E-03,-4.83E-03,0.348,0.114,-0.348,2.866,0.163,-0.163,1.86,2.40E-01,-1.20E-01,625,,,35.99,16.45,-8.17,5073,168,-152,4.607,0.024,-0.084,0.748,0.098,-0.049,287.52203,51.375858,15.912
2044,11922678,K02425.01,3.51295674,2.52E-05,-2.52E-05,133.78198,7.10E-03,-7.10E-03,0.499,0.453,-0.274,3.06,0.181,-0.181,1.1,3.40E-01,-1.60E-01,1434,,,999.6,862.47,-346.83,6453,146,-194,4.326,0.105,-0.195,1.17,0.357,-0.165,295.96283,50.24025,13.51
2045,5959719,K02498.01,6.73808701,4.47E-05,-4.47E-05,133.32953,5.80E-03,-5.80E-03,0.148,0.321,-0.148,2.591,0.158,-0.158,0.73,4.00E-02,-4.00E-02,786,,,90.19,20.15,-15.35,5168,102,-102,4.566,0.036,-0.048,0.769,0.049,-0.04,291.62878,41.208599,13.942
2046,5544903,K02499.01,7.57571414,6.59E-05,-6.59E-05,138.2166,1.01E-02,-1.01E-02,0.413,0.053,-0.408,2.357,0.335,-0.335,2.45,8.20E-01,-2.80E-01,1075,,,315.8,315.48,-106.18,6418,179,-268,4.395,0.056,-0.21,1.171,0.396,-0.132,295.0174,40.728001,15.614
2047,5542983,K02501.01,4.76887671,1.93E-05,-1.93E-05,132.09888,3.31E-03,-3.31E-03,0.654,0.027,-0.493,1.672,0.115,-0.115,2.11,3.90E-01,-6.70E-01,1532,,,1303.61,733.42,-759.98,6063,163,-163,3.926,0.308,-0.103,1.855,0.344,-0.59,294.50977,40.726452,13.388
2048,8256453,K02573.01,1.347512632,1.11E-06,-1.11E-06,132.127858,7.24E-04,-7.24E-04,1.252,5.907,-0.034,1.9817,0.03,-0.03,23.45,2.46E+00,-2.47E+00,1346,,,775.18,311.13,-236.82,5316,186,-186,4.585,0.083,-0.053,0.685,0.072,-0.072,298.77756,44.119942,15.894
2049,9474493,K02574.01,0.512581697,8.08E-07,-8.08E-07,132.80609,1.30E-03,-1.30E-03,0.283,0.196,-0.283,1.5789,0.0454,-0.0454,1.32,2.80E-01,-1.10E-01,2009,,,3827.79,2451.16,-992.07,5547,149,-166,4.571,0.034,-0.136,0.82,0.176,-0.07,295.46658,46.012402,15.338
2050,4551663,K02576.01,12.07760884,8.50E-05,-8.50E-05,140.46287,5.62E-03,-5.62E-03,0.264,0.193,-0.264,2.233,0.198,-0.198,1.03,1.70E-01,-1.40E-01,708,,,59.51,30.99,-19.43,5370,159,-143,4.471,0.115,-0.127,0.845,0.138,-0.113,288.77112,39.66798,14.166
2051,12257999,K02577.01,18.55581565,8.28E-05,-8.28E-05,132.07105,3.83E-03,-3.83E-03,0.073,0.368,-0.073,5.372,0.115,-0.115,20.83,3.51E+00,-7.62E+00,1793,,,2442.24,1705.42,-1750.19,5988,335,-503,2.982,0.273,-0.117,8.841,1.492,-3.232,291.28772,50.909149,13.506
2052,6922203,K02578.01,13.33094869,3.70E-05,-3.70E-05,133.78632,2.28E-03,-2.28E-03,1.199,6.947,-0.324,1.426,0.133,-0.133,25.95,7.54E+00,-3.47E+00,815,,,104.37,88.95,-35,5991,161,-179,4.394,0.105,-0.195,1.039,0.302,-0.139,281.26013,42.40329,14.847
2053,11752908,K02651.01,6.38315744,2.35E-05,-2.35E-05,132.30539,3.38E-03,-3.38E-03,0.029,0.426,-0.029,1.7075,0.0773,-0.0773,2.35,3.70E-01,-2.00E-01,787,,,91,49.41,-24.99,5262,184,-184,4.623,0.032,-0.091,0.714,0.114,-0.061,285.57492,49.960892,15.554
2054,7021681,K00255.01,27.52194772,3.06E-05,-3.06E-05,189.824523,8.08E-04,-8.08E-04,0.35,0.052,-0.35,4.047,0.0415,-0.0415,2.47,1.70E-01,-2.10E-01,314,,,2.28,0.56,-0.53,3780,76,-83,4.746,0.042,-0.031,0.511,0.036,-0.043,287.85812,42.542629,15.108
2055,4346178,K02652.01,16.1289679,1.55E-04,-1.55E-04,143.75518,7.46E-03,-7.46E-03,0.968,0.046,-0.684,6.271,0.366,-0.366,2.94,6.10E-01,-5.00E-01,715,,,61.87,34.02,-21.74,5392,80,-80,4.314,0.165,-0.15,1.087,0.227,-0.185,285.27643,39.446911,15.022
2056,9664142,K02654.01,13.5631157,1.43E-04,-1.43E-04,140.65364,7.80E-03,-7.80E-03,0.704,0.005,-0.524,5.438,0.23,-0.23,1.75,5.10E-01,-1.70E-01,733,,,68.41,58.24,-19.62,5853,157,-192,4.529,0.048,-0.192,0.895,0.26,-0.087,297.33945,46.347252,15.785
2057,10018233,K02655.01,16.2959916,7.70E-05,-7.70E-05,133.90784,3.75E-03,-3.75E-03,0.213,0.244,-0.213,2.116,0.128,-0.128,1.83,2.10E-01,-1.70E-01,678,,,49.81,16.07,-10.93,5495,74,-82,4.442,0.072,-0.099,0.961,0.115,-0.086,294.47833,46.945862,15.243
2058,8081899,K02426.01,4.16056658,2.58E-05,-2.58E-05,132.27418,4.82E-03,-4.82E-03,0.069,0.395,-0.069,2.61,0.167,-0.167,0.7,1.40E-01,-6.00E-02,985,,,222.54,133.7,-53.5,5481,147,-147,4.574,0.032,-0.136,0.815,0.163,-0.065,284.90302,43.95396,13.889
2059,10189557,K02427.01,2.93101771,2.30E-05,-2.30E-05,131.92959,6.41E-03,-6.41E-03,0.523,0.436,-0.315,2.231,0.188,-0.188,1.15,1.70E-01,-1.50E-01,1134,,,390.28,196.17,-127.35,5485,163,-163,4.5,0.11,-0.11,0.788,0.123,-0.101,283.02725,47.249882,15.484
2060,8478994,K00245.01,39.79220077,3.01E-05,-3.01E-05,175.250558,5.84E-04,-5.84E-04,0.019,0.336,-0.019,4.466,0.0216,-0.0216,1.9,8.00E-02,-7.00E-02,458,,,10.38,1.54,-1.37,5437,73,-81,4.571,0.02,-0.03,0.781,0.034,-0.031,284.05954,44.518215,9.705
2061,9965184,K02428.01,16.2276756,1.34E-04,-1.34E-04,136.62586,7.10E-03,-7.10E-03,0.633,0.317,-0.413,3.699,0.221,-0.221,2.11,4.50E-01,-3.00E-01,648,,,41.57,29.51,-15.04,5328,204,-185,4.447,0.13,-0.174,0.883,0.188,-0.126,297.18564,46.825298,15.388
2062,9911882,K02429.01,1.595630597,5.09E-06,-5.09E-06,136.13782,2.37E-03,-2.37E-03,1.21,10.8,-0.074,1.793,0.147,-0.147,17.94,3.66E+00,-1.23E+00,1346,,,778.05,492.25,-180.51,5632,169,-169,4.616,0.032,-0.128,0.729,0.149,-0.05,299.07828,46.78616,15.112
2063,8631504,K02503.01,14.8200596,1.12E-04,-1.12E-04,133.39933,5.38E-03,-5.38E-03,0.059,0.367,-0.059,3.902,0.201,-0.201,0.96,6.00E-02,-4.00E-02,552,,,21.92,4.66,-3.27,4825,96,-96,4.603,0.018,-0.045,0.732,0.043,-0.029,294.39105,44.762959,14.146
2064,8110767,K02504.01,20.49041,1.75E-04,-1.75E-04,144.41979,7.63E-03,-7.63E-03,0.011,0.44,-0.011,4.369,0.17,-0.17,2.34,6.70E-01,-2.20E-01,625,,,36.01,31.47,-10.47,5681,180,-200,4.524,0.036,-0.204,0.923,0.264,-0.088,296.18829,43.936852,15.93
2065,5471574,K02505.01,0.962827066,4.89E-06,-4.89E-06,132.20517,4.34E-03,-4.34E-03,1.079,0.258,-0.091,4.48,0.235,-0.235,29.27,3.96E+00,-1.11E+01,3399,,,31471.91,14245.65,-20733.67,6534,198,-198,3.647,0.344,-0.086,3.028,0.41,-1.147,297.68881,40.643661,13.398
2066,6767840,K02506.01,8.679037,3.98E-05,-3.98E-05,140.90423,4.09E-03,-4.09E-03,0.224,0.234,-0.224,2.864,0.106,-0.106,1.79,5.90E-01,-2.50E-01,949,,,191.84,188.93,-68.41,6117,190,-212,4.42,0.087,-0.203,1.027,0.334,-0.143,288.77182,42.213219,15.18
2067,8379705,K02507.01,11.1296971,9.10E-05,-9.10E-05,138.57573,6.45E-03,-6.45E-03,0.572,0.383,-0.369,2.942,0.218,-0.218,1.93,6.20E-01,-2.00E-01,843,,,119.44,115.92,-36.66,6122,190,-232,4.487,0.052,-0.208,0.964,0.309,-0.097,296.60141,44.32526,15.859
2068,9896018,K02579.01,2.7296036,1.31E-05,-1.31E-05,133.28661,3.79E-03,-3.79E-03,0.509,0.428,-0.308,2.721,0.123,-0.123,1.53,2.60E-01,-2.20E-01,1455,,,1056.15,466.02,-319.04,5887,70,-79,4.292,0.12,-0.12,1.235,0.213,-0.175,293.98871,46.718021,15.147
2069,11037511,K02580.01,3.11604194,1.19E-05,-1.19E-05,133.84988,2.85E-03,-2.85E-03,0.195,0.283,-0.195,1.7763,0.099,-0.099,1.59,4.30E-01,-1.10E-01,1123,,,375.55,315.68,-92.68,5591,175,-194,4.559,0.033,-0.187,0.86,0.237,-0.059,295.35446,48.5154,15.79
2070,11818872,K02581.01,12.7372371,1.30E-04,-1.30E-04,136.0162,8.64E-03,-8.64E-03,0.364,0.083,-0.364,3.358,0.225,-0.225,0.87,9.00E-02,-5.00E-02,697,,,55.82,17.76,-9.93,5420,108,-97,4.502,0.058,-0.078,0.868,0.09,-0.052,294.35092,50.081089,13.463
2071,11771430,K02582.01,40.0306267,3.40E-04,-3.40E-04,148.85882,7.73E-03,-7.73E-03,0.322,0.131,-0.322,4.815,0.188,-0.188,2.01,3.50E-01,-3.80E-01,617,,,34.19,16.13,-13.41,5855,104,-116,4.227,0.143,-0.117,1.373,0.235,-0.259,295.84653,49.936131,13.628
2072,5513012,K02668.01,0.679336747,8.23E-07,-8.23E-07,132.856178,9.84E-04,-9.84E-04,0.209,0.239,-0.209,1.2188,0.0366,-0.0366,1.4,1.60E-01,-8.00E-02,1883,,,2982.78,913.26,-501.97,5440,73,-81,4.491,0.045,-0.098,0.913,0.103,-0.055,283.92004,40.740131,14.159
2073,11761199,K02669.01,213.6103207,1.73E-04,-1.73E-04,141.655562,5.62E-04,-5.62E-04,0.977,1.928,-0.105,10.7643,0.0635,-0.0635,46.07,1.14E+01,-4.09E+00,291,,,1.69,1.24,-0.45,5931,160,-178,4.554,0.033,-0.176,0.845,0.209,-0.075,290.75183,49.972301,15.619
2074,8074805,K02670.01,170.8658492,1.25E-04,-1.25E-04,299.660385,5.34E-04,-5.34E-04,0.684,0.003,-0.003,16.9895,0.0343,-0.0343,24.4,3.85E+00,-4.30E+00,387,,,5.33,2.4,-1.99,5989,119,-119,4.221,0.149,-0.108,1.324,0.209,-0.233,281.05594,43.92374,14.412
2075,2437505,K02671.01,21.47642727,2.44E-05,-2.44E-05,149.26156,1.13E-03,-1.13E-03,0.006,0.028,-0.006,5.5498,0.0293,-0.0293,59.5,0.00E+00,0.00E+00,655,,,43.52,0,0,5780,,,4.438,,,1,,,290.23032,37.777481,17.29
2076,2437505,K02671.02,17.5509742,3.39E-04,-3.39E-04,133.9459,1.85E-02,-1.85E-02,0.2023,0.2665,-0.2022,4.064,0.456,-0.456,5.97,0.00E+00,0.00E+00,700,,,56.9,0,0,5780,,,4.438,,,1,,,290.23032,37.777481,17.29
2077,11253827,K02672.01,88.5122014,2.74E-04,-2.74E-04,182.67266,2.39E-03,-2.39E-03,0.242,0.177,-0.242,6.8214,0.0958,-0.0958,4.7,6.10E-01,-3.70E-01,390,,,5.47,2.08,-1.19,5593,111,-111,4.45,0.068,-0.102,0.945,0.122,-0.075,296.13281,48.977402,11.921
2078,3533469,K02430.01,10.21507506,8.24E-05,-8.24E-05,133.64546,6.63E-03,-6.63E-03,0.1,0.358,-0.1,3.395,0.171,-0.171,1.5,1.70E-01,-1.40E-01,780,,,87.48,27.17,-19.37,5406,75,-75,4.433,0.085,-0.085,0.95,0.108,-0.088,288.10608,38.659061,14.338
2079,8956706,K02431.01,8.3806973,1.74E-04,-1.74E-04,134.7287,1.10E-02,-1.10E-02,0.5317,0.0472,-0.4463,3.028,0.39,-0.39,1.91,3.40E-01,-1.50E-01,701,,,57.04,35.78,-14.38,5062,202,-157,4.601,0.031,-0.101,0.735,0.132,-0.058,293.24487,45.298279,15.97
2080,7047363,K02432.01,31.0572947,2.30E-04,-2.30E-04,147.56275,6.16E-03,-6.16E-03,0.335,0.135,-0.335,3.401,0.197,-0.197,1.85,3.40E-01,-1.40E-01,480,,,12.57,7.33,-2.98,5395,177,-144,4.615,0.035,-0.112,0.734,0.132,-0.057,295.62469,42.545898,15.956
2081,11968463,K02433.01,15.1622287,1.24E-04,-1.24E-04,144.474,8.19E-03,-8.19E-03,0.959,0.014,-0.651,7.332,0.448,-0.448,3.12,1.09E+00,-3.60E-01,829,,,111.74,114.89,-37.97,6325,174,-261,4.409,0.058,-0.218,1.112,0.388,-0.129,294.33847,50.33654,15.212
2082,11968463,K02433.02,10.04378351,6.55E-05,-6.55E-05,353.61859,4.17E-03,-4.17E-03,0.953,0.011,-0.648,5.548,0.223,-0.223,2.94,1.03E+00,-3.40E-01,951,,,193.39,198.85,-65.71,6325,174,-261,4.409,0.058,-0.218,1.112,0.388,-0.129,294.33847,50.33654,15.212
2083,8836888,K02508.01,7.10397925,2.42E-05,-2.42E-05,136.33096,2.73E-03,-2.73E-03,0.192,0.258,-0.192,1.5398,0.0989,-0.0989,1.51,3.10E-01,-1.40E-01,818,,,105.84,68.12,-27.11,5488,166,-149,4.584,0.036,-0.135,0.789,0.164,-0.07,297.90738,45.03231,15.164
2084,9880190,K02509.01,4.5513988,2.00E-05,-2.00E-05,133.05954,3.60E-03,-3.60E-03,0.248,0.199,-0.248,2.457,0.101,-0.101,1.13,4.00E-02,-9.00E-02,907,,,159.65,24.49,-31.24,5009,80,-80,4.491,0.077,-0.028,0.84,0.034,-0.062,286.48364,46.752621,15.035
2085,5364071,K00248.02,10.91274065,1.47E-05,-1.47E-05,169.85247,1.05E-03,-1.05E-03,0.685,0.192,-0.459,2.1801,0.0445,-0.0445,2.13,1.20E-01,-1.60E-01,443,,,9.12,1.88,-2,3834,77,-84,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
2086,5392702,K02510.01,12.2141545,1.87E-04,-1.87E-04,141.3677,1.21E-02,-1.21E-02,1.175,26.7,-0.538,10.262,0.724,-0.724,18.13,3.48E+00,-1.49E+00,683,,,51.37,32.51,-13.95,5435,193,-193,4.578,0.025,-0.136,0.824,0.158,-0.068,299.03641,40.583172,15.352
2087,8429566,K02511.01,3.732261,2.13E-05,-2.13E-05,131.93795,3.89E-03,-3.89E-03,0.4,0.053,-0.4,2.054,0.155,-0.155,1.09,2.90E-01,-1.30E-01,1119,,,369.47,290.7,-110.19,5762,155,-155,4.495,0.072,-0.18,0.867,0.232,-0.1,291.35867,44.424252,14.834
2088,10387742,K02583.01,3.03267135,1.37E-05,-1.37E-05,134.0668,3.81E-03,-3.81E-03,0.238,0.232,-0.238,1.774,0.122,-0.122,0.6,8.00E-02,-4.00E-02,1187,,,468.31,187.65,-91.73,5640,101,-113,4.492,0.045,-0.113,0.921,0.131,-0.061,283.42911,47.59251,12.623
2089,7673841,K02585.01,5.34182466,4.11E-05,-4.11E-05,136.3186,6.40E-03,-6.40E-03,0.07,0.38,-0.07,3.577,0.163,-0.163,0.95,1.40E-01,-1.70E-01,1125,,,379.09,159.1,-140.91,5767,115,-104,4.287,0.162,-0.108,1.135,0.165,-0.202,288.66077,43.36808,13.455
