rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5054,8356054,K03424.01,17.08120242,2.59E-06,-2.59E-06,134.296431,1.31E-04,-1.31E-04,0.915,0.031,-0.029,7.20617,0.00594,-0.00594,39.24,7.15E+00,-3.05E+00,585,,,27.61,16.63,-7.23,5431,189,-189,4.623,0.035,-0.105,0.708,0.129,-0.055,287.9726,44.333611,15.863
5055,9117416,K03425.01,20.034708,1.82E-04,-1.82E-04,145.4541,7.31E-03,-7.31E-03,0.193,0.27,-0.193,6.49,0.209,-0.209,2.24,5.20E-01,-9.00E-01,967,,,207.16,150.16,-142.72,6120,195,-217,3.934,0.398,-0.133,2,0.467,-0.801,300.31619,45.49538,13.266
5056,6356400,K07776.01,541.92452,1.93E-02,-1.93E-02,326.8745,2.40E-02,-2.40E-02,0.95,0.026,-0.654,21.4,1.7,-1.7,3.15,2.30E-01,-2.90E-01,144,,,0.1,0.03,-0.02,4378,131,-131,4.64,0.052,-0.024,0.614,0.045,-0.056,289.28772,41.799938,15.671
5057,9117416,K03425.02,3.15722086,1.95E-05,-1.95E-05,131.69915,4.80E-03,-4.80E-03,0.001,0.455,-0.001,3.762,0.143,-0.143,1.41,3.30E-01,-5.70E-01,1791,,,2436.47,1766.22,-1678.55,6120,195,-217,3.934,0.398,-0.133,2,0.467,-0.801,300.31619,45.49538,13.266
5058,5900235,K03426.01,58.7701045,9.32E-04,-9.32E-04,174.775,1.19E-02,-1.19E-02,0.551,0.034,-0.46,6.995,0.414,-0.414,1.57,4.50E-01,-2.40E-01,508,,,15.78,13.68,-5.93,6158,184,-203,4.397,0.108,-0.186,1.013,0.292,-0.157,298.00089,41.196991,14.324
5059,9474756,K03495.02,6.685438,1.83E-04,-1.83E-04,132.3184,1.42E-02,-1.42E-02,0.853,0.021,-0.602,5.09,0.801,-0.801,1.25,2.00E-01,-1.60E-01,1040,,,276.02,115.49,-78.23,5808,78,-78,4.326,0.11,-0.11,1.159,0.185,-0.151,295.55374,46.02911,15.135
5060,7517261,K03496.01,23.2385587,4.48E-04,-4.48E-04,143.5274,1.78E-02,-1.78E-02,0.355,0.108,-0.355,8.432,0.374,-0.374,2.18,6.40E-01,-5.70E-01,903,,,157.09,135.63,-84.07,6602,181,-250,4.108,0.22,-0.18,1.685,0.494,-0.444,288.4212,43.179794,13.932
5061,7517261,K03496.02,8.5433774,1.98E-04,-1.98E-04,137.9895,1.92E-02,-1.92E-02,0.748,0.226,-0.505,6.149,0.478,-0.478,1.58,4.60E-01,-4.20E-01,1260,,,595.97,514.55,-318.95,6602,181,-250,4.108,0.22,-0.18,1.685,0.494,-0.444,288.4212,43.179794,13.932
5062,5653795,K07734.01,118.314913,3.36E-03,-3.36E-03,215.6117,1.77E-02,-1.77E-02,0.522,0.465,-0.32,4.79,1.4,-1.4,7.23,1.05E+00,-3.16E+00,786,,,90.09,46.16,-65.44,6190,223,-223,3.34,0.391,-0.069,4.763,0.694,-2.082,299.8363,40.88673,13.172
5063,8424002,K03497.01,20.35971899,5.48E-05,-5.48E-05,134.29123,2.18E-03,-2.18E-03,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,0.8,1.20E-01,-1.60E-01,276,,,1.38,0.58,-0.58,3419,67,-76,4.904,0.084,-0.052,0.344,0.051,-0.07,289.27451,44.470322,13.393
